record_index,record_id,work_id,title,auto_level,screen_priority_score,final_level,exclusion_code,reviewer,review_basis,evidence_location,decision_notes,preferred_record_id,is_preferred_manifestation,dedup_rule,preferred_manifestation_rationale
0,REC-A90ED129C90C94AD,WORK-5BB9AAEE9A32EB4E,Area and Throughput Trade-Offs in the Design of Pipelined Discrete Wavelet Transform Architectures,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-A90ED129C90C94AD:title+abstract,"The abstract centers on an unrelated workload (The JPEG2000 standard defines the discrete wavelet transform (DWT) as a linear space-to-frequency transform of the image domain in an…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-A90ED129C90C94AD,True,unique,peer-reviewed manifestation; latest version breaks ties
1,REC-AAB3600F00A60110,WORK-C3205BFDF5C04E9F,A Public Key Block Cipher Based on Multivariate Quadratic Quasigroups,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-AAB3600F00A60110:title+abstract,"The abstract centers on an unrelated workload (We have designed a new class of public key algorithms based on quasigroup string transformations using a specific class of…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-AAB3600F00A60110,True,unique,latest non-withdrawn preprint
2,REC-61B0E818AB02E4D2,WORK-24BFFA21A0643E15,Data reduction strategy of the Effelsberg-Bonn HI Survey (EBHIS),X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-61B0E818AB02E4D2:title+abstract,"The abstract centers on an unrelated workload (Since autumn 2008 a new L-band 7-Feed-Array receiver is used for an HI 21-cm line survey performed with the 100-m…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-61B0E818AB02E4D2,True,unique,latest non-withdrawn preprint
3,REC-E887FD9D5AB3827A,WORK-FC1372F8E0AF60D2,Rotation Measure Synthesis of Galactic Polarized Emission with the DRAO 26-m Telescope,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-E887FD9D5AB3827A:title+abstract,"The abstract centers on an unrelated workload (Radio polarimetry at decimetre wavelengths is the principal source of information on the Galactic magnetic field) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-E887FD9D5AB3827A,True,unique,peer-reviewed manifestation; latest version breaks ties
4,REC-416B2DD45741AF37,WORK-253528675CBD2D66,The Effelsberg-Bonn HI Survey: Data reduction,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-416B2DD45741AF37:title+abstract,"The abstract centers on an unrelated workload (Starting in winter 2008/2009 an L-band 7-Feed-Array receiver is used for a 21-cm line survey performed with the 100-m telescope,…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-416B2DD45741AF37,True,unique,peer-reviewed manifestation; latest version breaks ties
5,REC-03C5614289D5B5ED,WORK-5D42908FE430A92F,High Speed Reconfigurable FFT Design by Vedic Mathematics,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-03C5614289D5B5ED:title+abstract,"The abstract centers on an unrelated workload (The Fast Fourier Transform (FFT) is a computationally intensive digital signal processing (DSP) function widely used in applications such as…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-03C5614289D5B5ED,True,unique,peer-reviewed manifestation; latest version breaks ties
6,REC-068D2E4C36E0A59F,WORK-8BE7E0A1396B63DF,RFI mitigation for the Effelsberg-Bonn HI Survey (EBHIS),X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-068D2E4C36E0A59F:title+abstract,"The abstract centers on an unrelated workload (A new L-band 7 feed array at the 100-m telescope is used to perform an unbiased, fully sampled HI survey…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-068D2E4C36E0A59F,True,unique,latest non-withdrawn preprint
7,REC-AAAC49C19C9048DC,WORK-22BF9F055EB3CBAD,Space and the Synchronic A-Ram,X,5,X,X_PERFORMANCE_MODEL_ONLY,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-AAAC49C19C9048DC:title+abstract;LLM-inference-on-FPGA-papers/papers/1008.1673v2.pdf#text-search=""purely formal, to be simulated only""","The record provides a formal, analytical, or energy model (Space is a circuit oriented, spatial programming language designed to exploit the massive parallelism available in a novel formal model…) without an executable transformer-relevant FPGA architecture.",REC-AAAC49C19C9048DC,True,unique,latest non-withdrawn preprint
8,REC-CE62EB126433974E,WORK-68A6CE0B4877390B,High-resolution wide-band Fast Fourier Transform spectrometers,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-CE62EB126433974E:title+abstract,"The abstract centers on an unrelated workload (We describe the performance of our latest generations of sensitive wide-band high-resolution digital Fast Fourier Transform Spectrometer (FFTS)) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-CE62EB126433974E,True,unique,peer-reviewed manifestation; latest version breaks ties
9,REC-B86DE6D6670ABBED,WORK-F1B1D6C896617E25,Inexpensive hardware and software for photon statistics and correlation spectroscopy,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B86DE6D6670ABBED:title+abstract,"The abstract centers on an unrelated workload (Single-molecule sensitive microscopies and spectroscopies are transforming biophysics and materials science laboratories) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-B86DE6D6670ABBED,True,unique,latest non-withdrawn preprint
10,REC-082721F13E9FFC71,WORK-52F1C291DA3C97EE,Linear Transformations for Randomness Extraction,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-082721F13E9FFC71:title+abstract,"The abstract centers on an unrelated workload (Information-efficient approaches for extracting randomness from imperfect sources have been extensively studied, but simpler and faster ones are required in…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-082721F13E9FFC71,True,unique,latest non-withdrawn preprint
11,REC-42EE9703F04DEB01,WORK-6680DFD3B945B3E9,Design and Implementation A different Architectures of mixcolumn in FPGA,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-42EE9703F04DEB01:title+abstract,"The abstract centers on an unrelated workload (This paper details Implementation of the Encryption algorithm AES under VHDL language In FPGA by using different architecture of mixcolumn) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-42EE9703F04DEB01,True,unique,peer-reviewed manifestation; latest version breaks ties
12,REC-ADAAD71114348F43,WORK-5A128B19817AD461,Field Programmable DSP Arrays - A Novel Reconfigurable Architecture for Efficient Realization of Digital Signal Processing Functions,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-ADAAD71114348F43:title+abstract,"The abstract centers on an unrelated workload (Digital Signal Processing functions are widely used in real time high speed applications) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-ADAAD71114348F43,True,unique,peer-reviewed manifestation; latest version breaks ties
13,REC-BA343A3251B11D61,WORK-8EC1F46929A24CE3,Incorporation of Polar Mellin Transform in a Hybrid Optoelectronic Correlator for Scale & Rotation Invariant Target Recognition,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BA343A3251B11D61:title+abstract,"The abstract centers on an unrelated workload (In this paper, we show that our proposed hybrid optoelectronic correlator (HOC), which correlates images using spatial light modulators (SLM),…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-BA343A3251B11D61,True,unique,peer-reviewed manifestation; latest version breaks ties
