arxiv_id,base_arxiv_id,title,realistically_reusable,top_route_candidates,llm_relevance_hits,llm_relevance_score,mlir_circt_level,hls_level,overlay_level,param_rtl_level,dataflow_level,cpu_fpga_fallback_level,pdf_status,pdf_path,pdf_pages
1008.1673v2,1008.1673,Space and the Synchronic A-Ram,medium,param_rtl:medium;dataflow:medium;overlay:low,token,0.09,none,none,low,medium,medium,low,ok,LLM-inference-on-FPGA-papers/papers/1008.1673v2.pdf,8
1203.3972v1,1203.3972,High-resolution wide-band Fast Fourier Transform spectrometers,medium,param_rtl:medium;dataflow:low;cpu_fpga_fallback:low,decode,0.09,none,none,none,medium,low,low,ok,LLM-inference-on-FPGA-papers/papers/1203.3972v1.pdf,7
1206.3332v2,1206.3332,Inexpensive hardware and software for photon statistics and correlation spectroscopy,high,cpu_fpga_fallback:high,decode;inference,0.18,none,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/1206.3332v2.pdf,43
1309.7843v3,1309.7843,Energy Efficient Telemonitoring of Physiological Signals via Compressed Sensing: A Fast Algorithm and Power Consumption Evaluation,medium,cpu_fpga_fallback:medium,autoregressive,0.09,none,none,none,none,none,medium,ok,LLM-inference-on-FPGA-papers/papers/1309.7843v3.pdf,9
1404.3877v1,1404.3877,Design space exploration for image processing architectures on FPGA targets,high,cpu_fpga_fallback:high;param_rtl:medium;dataflow:medium,decode,0.09,none,none,none,medium,medium,high,ok,LLM-inference-on-FPGA-papers/papers/1404.3877v1.pdf,19
1406.1918v1,1406.1918,Front-End Board with Cyclone V as a Test High-Resolution Platform for the Auger-Beyond-2015 Front End Electronics,high,cpu_fpga_fallback:high;param_rtl:medium;dataflow:low,transformer,0.09,none,none,none,medium,low,high,ok,LLM-inference-on-FPGA-papers/papers/1406.1918v1.pdf,8
1411.0863v1,1411.0863,Inner Loop Optimizations in Mapping Single Threaded Programs to Hardware,medium,param_rtl:medium;mlir_circt:medium;hls:medium,token,0.09,medium,medium,none,medium,medium,low,ok,LLM-inference-on-FPGA-papers/papers/1411.0863v1.pdf,8
1501.02995v1,1501.02995,Improved 8-point Approximate DCT for Image and Video Compression Requiring Only 14 Additions,high,param_rtl:high;dataflow:low;cpu_fpga_fallback:low,attention,0.09,none,none,none,high,low,low,ok,LLM-inference-on-FPGA-papers/papers/1501.02995v1.pdf,30
1502.04221v1,1502.04221,A Row-parallel 8$\times$8 2-D DCT Architecture Using Algebraic Integer Based Exact Computation,medium,dataflow:medium;cpu_fpga_fallback:medium,decode,0.09,none,none,none,none,medium,medium,ok,LLM-inference-on-FPGA-papers/papers/1502.04221v1.pdf,28
1504.05372v1,1504.05372,Inferring Program Transformations from Type Transformations for Partitioning of Ordered Sets,medium,dataflow:medium;cpu_fpga_fallback:low,inference,0.09,none,none,none,none,medium,low,ok,LLM-inference-on-FPGA-papers/papers/1504.05372v1.pdf,17
1511.05552v4,1511.05552,Recurrent Neural Networks Hardware Implementation on FPGA,high,dataflow:high;cpu_fpga_fallback:high;mlir_circt:low,decode,0.09,low,none,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/1511.05552v4.pdf,7
1602.02517v1,1602.02517,Energy Efficient Video Fusion with Heterogeneous CPU-FPGA Devices,high,cpu_fpga_fallback:high;hls:medium;dataflow:medium,decode,0.09,none,medium,none,low,medium,high,ok,LLM-inference-on-FPGA-papers/papers/1602.02517v1.pdf,6
1606.06451v1,1606.06451,High Level Synthesis with a Dataflow Architectural Template,high,hls:high;dataflow:high;param_rtl:medium,token,0.09,low,high,medium,medium,high,medium,ok,LLM-inference-on-FPGA-papers/papers/1606.06451v1.pdf,6
