record_index,record_id,work_id,title,final_level,reviewer,review_basis,evidence_location,selection_rule,sample_hash
322,REC-804DE81A30D8BC62,WORK-0154F48F925C2E65,Hummingbird: A Smaller and Faster Large Language Model Accelerator on Embedded FPGA,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-804DE81A30D8BC62:title+abstract,all final A/C,0154f48f925c2e65fed54d057dced5502e033432e9272ce7ffa825df55ece1c5
274,REC-12C9D1ED9EF711FB,WORK-1A49E51497ADC66F,A Tensor-Train Decomposition based Compression of LLMs on Group Vector Systolic Accelerator,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-12C9D1ED9EF711FB:title+abstract;source_url=https://arxiv.org/pdf/2501.19135v1;cache_filename=2501.19135v1.pdf;cache_sha256=f5537770a482adb8996867a7ef57a9358263195f3d58f81f019806bb048d5aeb;locator=pages 5-6 section V Experimental Results search phrase whole network,all final A/C,1a49e51497adc66f99635f05a604da71fa8aa61662c3f24183b5b326b1b8198c
347,REC-BEACC83B64B951BF,WORK-3743FA26ADD8EF20,TENET: An Efficient Sparsity-Aware LUT-Centric Architecture for Ternary LLM Inference On Edge,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-BEACC83B64B951BF:title+abstract;source_url=https://arxiv.org/pdf/2509.13765v1;cache_filename=2509.13765v1.pdf;cache_sha256=6e30b46b859e0f59d219cb23fb26ab187a64e831f0e39bb91a3b4338cc26f2b5;locator=section=Evaluation&search=TENET-FPGA_achieves_an_end-to-end_speedup,all final A/C,3743fa26add8ef2062a6dbdd60a6d5ab55348ce553c986c92ef72de453457d61
311,REC-6FA4AA8C0ADE1CF7,WORK-543487817DE55ABF,FastMamba: A High-Speed and Efficient Mamba Accelerator on FPGA with Accurate Quantization,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6FA4AA8C0ADE1CF7:title+abstract,all final A/C,543487817de55abfd80b52268ebaa4ceabc321f9f7fd7463de192a5a61b21aa6
290,REC-8038055899F288DD,WORK-569E8221840CA718,MEADOW: Memory-efficient Dataflow and Data Packing for Low Power Edge LLMs,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-8038055899F288DD:title+abstract,all final A/C,569e8221840ca7182093493686ea356a43500cc8069991d3bbbc7bd77f15dbed
213,REC-A8FC56A3513C926D,WORK-586F8BE993539508,HLSTransform: Energy-Efficient Llama 2 Inference on FPGAs Via High Level Synthesis,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-A8FC56A3513C926D:title+abstract;source_url=https://arxiv.org/pdf/2405.00738v1;cache_filename=2405.00738v1.pdf;cache_sha256=d4d5f70aefc7116006fb7d87d3db35824d057ada6b4225ad6dcff7a1130096fc;locator=page 3 section 3.1 Implementation search phrase host reads the output and performs sampling,all final A/C,586f8be99353950807036b6142a5f4caf854d9a36d33ac1d1a9c03d8f248a0d5
284,REC-9EEECBE6F301F9A2,WORK-5BE94FE918019CC7,TerEffic: Highly Efficient Ternary LLM Inference on FPGA,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-9EEECBE6F301F9A2:title+abstract,all final A/C,5be94fe918019cc76a2d665f4bca9c44c0e254d7515ad5f9b08cf0900943fc90
233,REC-B4C13EE048139933,WORK-5E396BFE815B3DBB,EdgeLLM: A Highly Efficient CPU-FPGA Heterogeneous Edge Accelerator for Large Language Models,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B4C13EE048139933:title+abstract,all final A/C,5e396bfe815b3dbbad44832a8f70fddfab76ee84ab171c6049ffd9877a39c495
241,REC-D80BA185FF6CE5BD,WORK-617566A76A0E7098,LlamaF: An Efficient Llama2 Architecture Accelerator on Embedded FPGAs,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-D80BA185FF6CE5BD:title+abstract;source_url=https://arxiv.org/pdf/2409.11424v1;cache_filename=2409.11424v1.pdf;cache_sha256=863004facf1b502140ad2d0c556897f42d8773d2218ed83ee84ca5a7ed574796;locator=page 6 section IV-C Performance Analysis search phrase tokens generated per second,all final A/C,617566a76a0e70981ac886971ff4072b09441996ec678a7bd40a0e4cf85affee
389,REC-F7C40BB06A37B794,WORK-7081D6F93A40D169,FlexLLM: Composable HLS Library for Flexible Hybrid LLM Accelerator Design,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F7C40BB06A37B794:title+abstract,all final A/C,7081d6f93a40d16996fa2a4fe732415704dd7fc4c506908bdd7136aa107bf8de
