arxiv_id,base_arxiv_id,title,published_year,primary_category,all_categories,pdf_path,pdf_sha256,pdf_pages,pdf_scanned,pdf_status,survey_scope,llm_relevance_hits,llm_relevance_score,mlir_circt_level,mlir_circt_hits,mlir_circt_pages,mlir_circt_evidence,hls_level,hls_hits,hls_pages,hls_evidence,overlay_level,overlay_hits,overlay_pages,overlay_evidence,param_rtl_level,param_rtl_hits,param_rtl_pages,param_rtl_evidence,dataflow_level,dataflow_hits,dataflow_pages,dataflow_evidence,cpu_fpga_fallback_level,cpu_fpga_fallback_hits,cpu_fpga_fallback_pages,cpu_fpga_fallback_evidence,realistically_reusable,top_route_candidates,route_notes
0710.4812v1,0710.4812,Area and Throughput Trade-Offs in the Design of Pipelined Discrete Wavelet Transform Architectures,2007,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/0710.4812v1.pdf,1a8e236f8a9cf94ed0e151becde39e7afe2aef2306d4f76342a664eabc861e87,6,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,medium,hardware description;vhdl,hardware description@p1;vhdl@p5,hardware description@p1;vhdl@p5,medium,pipeline;dataflow,"pipeline@p1,2,3,4,5,6;dataflow@p3,4","pipeline@p1,2,3,4,5,6;dataflow@p3,4",low,ps ,"ps @p1,2","ps @p1,2",low,param_rtl:medium;dataflow:medium;cpu_fpga_fallback:low,param_rtl:medium via hardware description@p1;vhdl@p5
0808.0247v1,0808.0247,A Public Key Block Cipher Based on Multivariate Quadratic Quasigroups,2008,cs.CR,cs.CR,LLM-inference-on-FPGA-papers/papers/0808.0247v1.pdf,1f709f01ee32dd60fc4fcac6898c2a492d43a79c782881a38af06bb65179c53a,22,yes,ok,full_paper,,0.00,low,affine,affine@p12,affine@p12,none,,,,none,,,,low,vhdl,vhdl@p9,vhdl@p9,low,pipeline,pipeline@p11,pipeline@p11,medium, cpu;ps ," cpu@p1,9,10;ps @p1,2,3,4,7,8,9,11,14,15","cpu@p1,9,10;ps @p1,2,3,4,7,8,9,11,14,15",low,cpu_fpga_fallback:medium;param_rtl:low;mlir_circt:low,"cpu_fpga_fallback:medium via  cpu@p1,9,10;ps @p1,2,3,4,7,8,9,11,14,15"
0909.2795v1,0909.2795,Data reduction strategy of the Effelsberg-Bonn HI Survey (EBHIS),2009,astro-ph.IM,astro-ph.IM|astro-ph.GA,LLM-inference-on-FPGA-papers/papers/0909.2795v1.pdf,15443cb5e32d27510e1af3fc2d187418d8b1fde3c5614197c62e5a71dcb7a403,6,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,low,pipeline,pipeline@p3,pipeline@p3,low,ps ,ps @p3,ps @p3,low,dataflow:low;cpu_fpga_fallback:low,dataflow:low via pipeline@p3
1002.2312v2,1002.2312,Rotation Measure Synthesis of Galactic Polarized Emission with the DRAO 26-m Telescope,2010,astro-ph.IM,astro-ph.IM|astro-ph.GA,LLM-inference-on-FPGA-papers/papers/1002.2312v2.pdf,d08bad4fc4fa09d1c5ed764c5cc7b9b53eb8c8dbbdeed70e2d76d230788b69dc,10,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,low,vhdl,vhdl@p4,vhdl@p4,none,,,,high,ps ;processing system;host; cpu,"ps @p2,4,5,6,7,8,9;processing system@p3;host@p4; cpu@p7","ps @p2,4,5,6,7,8,9;processing system@p3;host@p4;cpu@p7",low,cpu_fpga_fallback:high;param_rtl:low,"cpu_fpga_fallback:high via ps @p2,4,5,6,7,8,9;processing system@p3;host@p4; cpu@p7"
1005.4604v1,1005.4604,The Effelsberg-Bonn HI Survey: Data reduction,2010,astro-ph.IM,astro-ph.IM,LLM-inference-on-FPGA-papers/papers/1005.4604v1.pdf,bf8f4469b6042484b03aa04249b558729f89184acade0c4f6be6871d4f68b6f7,17,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,low,pipeline,"pipeline@p4,5","pipeline@p4,5",low,ps ,"ps @p2,4,5,6,9,11,12,13,14,15,16","ps @p2,4,5,6,9,11,12,13,14,15,16",low,dataflow:low;cpu_fpga_fallback:low,"dataflow:low via pipeline@p4,5"
1006.2811v1,1006.2811,High Speed Reconfigurable FFT Design by Vedic Mathematics,2010,cs.OH,cs.OH,LLM-inference-on-FPGA-papers/papers/1006.2811v1.pdf,9ce5ab3438b03f59786650426a2be5e9ce1646dce3014526fb120e5f24bb37a5,5,yes,ok,full_paper,attention,0.09,none,,,,none,,,,none,,,,low, rtl, rtl@p4,rtl@p4,low,systolic,systolic@p4,systolic@p4,none,,,,low,param_rtl:low;dataflow:low,param_rtl:low via  rtl@p4
1007.2328v1,1007.2328,RFI mitigation for the Effelsberg-Bonn HI Survey (EBHIS),2010,astro-ph.IM,astro-ph.IM,LLM-inference-on-FPGA-papers/papers/1007.2328v1.pdf,df9981dc1dba958e9ed30cf67cf39c0d56c337e1f366f030991936f62cb51f4b,9,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,"ps @p2,3,4,5,6","ps @p2,3,4,5,6",low,cpu_fpga_fallback:low,"cpu_fpga_fallback:low via ps @p2,3,4,5,6"
1008.1673v2,1008.1673,Space and the Synchronic A-Ram,2010,cs.CL,cs.CL|cs.PL,LLM-inference-on-FPGA-papers/papers/1008.1673v2.pdf,872b71dff54bb867c3d60638422151fb60773e2fc6ce2f49b769e3661995732f,8,yes,ok,full_paper,token,0.09,none,,,,none,,,,low,instruction set,"instruction set@p4,5","instruction set@p4,5",medium,verilog;vhdl,"verilog@p2,5;vhdl@p2,5","verilog@p2,5;vhdl@p2,5",medium,dataflow;systolic,"dataflow@p1,2,3,4,6,8;systolic@p3,7","dataflow@p1,2,3,4,6,8;systolic@p3,7",low,ps ,"ps @p4,7,8","ps @p4,7,8",medium,param_rtl:medium;dataflow:medium;overlay:low,"param_rtl:medium via verilog@p2,5;vhdl@p2,5"
1203.3972v1,1203.3972,High-resolution wide-band Fast Fourier Transform spectrometers,2012,astro-ph.IM,astro-ph.IM,LLM-inference-on-FPGA-papers/papers/1203.3972v1.pdf,9d68ea97863a6ba1d398507ba25b174c339f3c4ef7bcb7889490aa71d01c5a03,7,yes,ok,full_paper,decode,0.09,none,,,,none,,,,none,,,,medium,vhdl;hardware description,vhdl@p3;hardware description@p3,vhdl@p3;hardware description@p3,low,pipeline,"pipeline@p1,2,3,4,5","pipeline@p1,2,3,4,5",low,ps ,"ps @p1,2,3,4,6","ps @p1,2,3,4,6",medium,param_rtl:medium;dataflow:low;cpu_fpga_fallback:low,param_rtl:medium via vhdl@p3;hardware description@p3
1206.3332v2,1206.3332,Inexpensive hardware and software for photon statistics and correlation spectroscopy,2012,physics.bio-ph,physics.bio-ph,LLM-inference-on-FPGA-papers/papers/1206.3332v2.pdf,8f34e372ea99d14e1eebe45de5023cbd7d1723cadcda0082dc9601e4bf239d11,43,yes,ok,full_paper,decode;inference,0.18,none,,,,none,,,,none,,,,none,,,,none,,,,high,host;ps ;hybrid,"host@p3,9,10;ps @p12,19,21,25,26,32,37;hybrid@p41","host@p3,9,10;ps @p12,19,21,25,26,32,37;hybrid@p41",high,cpu_fpga_fallback:high,"cpu_fpga_fallback:high via host@p3,9,10;ps @p12,19,21,25,26,32,37;hybrid@p41"
