project_family_id,primary_work_id,work_id,is_primary_work,preferred_record_id,record_ids_json,title,level_final,route_family,family_grouping_basis,evidence_sources_json
PF-01C7A8F66F1BFE50,WORK-8FBAE8318B23CB6D,WORK-8FBAE8318B23CB6D,True,REC-ACAB157CC9F0D857,"[""REC-ACAB157CC9F0D857""]",FPGA with Improved Routability and Robustness in 130nm CMOS with Open-Source CAD Targetability,C,PARAMETERIZED_RTL,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-ACAB157CC9F0D857:title+abstract;LLM-inference-on-FPGA-papers/papers/1712.03411v1.pdf#text-search=\""complete, open-source FPGA design methodology\""""]"
PF-05A2D534FEE50400,WORK-3FBBD67FEE61574E,WORK-3FBBD67FEE61574E,True,REC-E7AE600E045763D8,"[""REC-E7AE600E045763D8""]",ME-ViT: A Single-Load Memory-Efficient FPGA Accelerator for Vision Transformers,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-E7AE600E045763D8:title+abstract""]"
PF-08FCFE46123303F6,WORK-84D489636861F87C,WORK-84D489636861F87C,True,REC-F678D73F154843E5,"[""REC-F678D73F154843E5""]",Efficient Kernel Mapping and Comprehensive System Evaluation of LLM Acceleration on a CGLA,A,OVERLAY,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-F678D73F154843E5:title+abstract""]"
PF-0960DFADF21ADE8E,WORK-C8C7DD2493E18982,WORK-C8C7DD2493E18982,True,REC-07348ADFD0A3279E,"[""REC-07348ADFD0A3279E""]",An Algorithm-Hardware Co-Optimized Framework for Accelerating N:M Sparse Transformers,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-07348ADFD0A3279E:title+abstract""]"
PF-0E454F9BEF7E6E94,WORK-F3CC25F6B6D57A1A,WORK-F3CC25F6B6D57A1A,True,REC-1C63BBF0DA4696BC,"[""REC-1C63BBF0DA4696BC""]",Distribution-Aware Hadamard Quantization for Hardware-Efficient Implicit Neural Representations,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-1C63BBF0DA4696BC:title+abstract""]"
PF-0EC67BD72CA5BC1E,WORK-7F057BB7FC916EC9,WORK-7F057BB7FC916EC9,True,REC-5F3D8033CA8716D1,"[""REC-5F3D8033CA8716D1""]",UniFormer: Unified and Efficient Transformer for Reasoning Across General and Custom Computing,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-5F3D8033CA8716D1:title+abstract""]"
PF-0ED1ABCF4AFE5CD3,WORK-1A49E51497ADC66F,WORK-1A49E51497ADC66F,True,REC-12C9D1ED9EF711FB,"[""REC-12C9D1ED9EF711FB""]",A Tensor-Train Decomposition based Compression of LLMs on Group Vector Systolic Accelerator,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-12C9D1ED9EF711FB:title+abstract; LLM-inference-on-FPGA-papers/papers/2501.19135v1.pdf pages 5-6 section V Experimental Results search phrase whole network""]"
PF-0FFA1671B4B4C8E2,WORK-BDE73567632ABDE0,WORK-BDE73567632ABDE0,True,REC-867BF18E2ADEBF6C,"[""REC-867BF18E2ADEBF6C""]",eMamba: Efficient Acceleration Framework for Mamba Models in Edge Computing,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-867BF18E2ADEBF6C:title+abstract; LLM-inference-on-FPGA-papers/papers/2508.10370v1.pdf#section=3.eMamba_Design_Framework_Overview&search=focus_on_three_representative_vision_datasets""]"
PF-1090AC9388196005,WORK-EDCEC112A1B67954,WORK-EDCEC112A1B67954,True,REC-0A35BCF12DE7E299,"[""REC-0A35BCF12DE7E299""]",TeLLMe: An Energy-Efficient Ternary LLM Accelerator for Prefilling and Decoding on Edge FPGAs,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-0A35BCF12DE7E299:title+abstract""]"
PF-1273CF4396325B77,WORK-0154F48F925C2E65,WORK-0154F48F925C2E65,True,REC-804DE81A30D8BC62,"[""REC-804DE81A30D8BC62""]",Hummingbird: A Smaller and Faster Large Language Model Accelerator on Embedded FPGA,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-804DE81A30D8BC62:title+abstract""]"
PF-1309438CCD369A2F,WORK-D09592325C3D6F51,WORK-D09592325C3D6F51,True,REC-DD588E778AEE07F4,"[""REC-DD588E778AEE07F4""]",FourierCompress: Layer-Aware Spectral Activation Compression for Efficient and Accurate Collaborative LLM Inference,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-DD588E778AEE07F4:title+abstract""]"
PF-1326C1A7929FA973,WORK-EA9F4D3B9BBE30B0,WORK-EA9F4D3B9BBE30B0,True,REC-377F6DCA995797F6,"[""REC-377F6DCA995797F6""]",Understand and Accelerate Memory Processing Pipeline for Large Language Model Inference,A,CPU_FPGA_FALLBACK,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-377F6DCA995797F6:title+abstract""]"
PF-13693A97D3B00D2B,WORK-BCAC51FD8CA6A5B2,WORK-BCAC51FD8CA6A5B2,True,REC-76DBC4C4BEB42ABB,"[""REC-76DBC4C4BEB42ABB""]",Scalable Test Generation to Trigger Rare Targets in High-Level Synthesizable IPs for Cloud FPGAs,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-76DBC4C4BEB42ABB:title+abstract""]"
PF-13AB3CD7DD5A3586,WORK-3743FA26ADD8EF20,WORK-3743FA26ADD8EF20,True,REC-BEACC83B64B951BF,"[""REC-BEACC83B64B951BF""]",TENET: An Efficient Sparsity-Aware LUT-Centric Architecture for Ternary LLM Inference On Edge,A,OVERLAY,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-BEACC83B64B951BF:title+abstract; LLM-inference-on-FPGA-papers/papers/2509.13765v1.pdf#section=Evaluation&search=TENET-FPGA_achieves_an_end-to-end_speedup""]"
PF-13DC8ECA2264F55F,WORK-798576DA3360CBE1,WORK-798576DA3360CBE1,True,REC-27EC4FCAD057D2AF,"[""REC-27EC4FCAD057D2AF""]",Hardware-Efficient Template-Based Deep CNNs Accelerator Design,C,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-27EC4FCAD057D2AF:title+abstract""]"
PF-148466B74254B669,WORK-BF21FF2DF8AB8862,WORK-BF21FF2DF8AB8862,True,REC-B1AB3CDD99DC6F68,"[""REC-B1AB3CDD99DC6F68""]",Dynasparse: Accelerating GNN Inference through Dynamic Sparsity Exploitation,D,OVERLAY,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-B1AB3CDD99DC6F68:title+abstract""]"
PF-14E2F7F6E91F000B,WORK-13DC055F6B287384,WORK-13DC055F6B287384,True,REC-B7DAC6E64AEA32C6,"[""REC-B7DAC6E64AEA32C6""]",CHOSEN: Compilation to Hardware Optimization Stack for Efficient Vision Transformer Inference,C,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-B7DAC6E64AEA32C6:title+abstract""]"
PF-150E71C8465D0C38,WORK-DE1374C0AC8B542C,WORK-DE1374C0AC8B542C,True,REC-B9BB1B48E25209CD,"[""REC-374F2F1C49957DA6"",""REC-B9BB1B48E25209CD""]",DiffAxE: Diffusion-driven Hardware Accelerator Generation and Design Space Exploration,C,PARAMETERIZED_RTL,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-374F2F1C49957DA6:title+abstract; LLM-inference-on-FPGA-papers/papers/2508.10303v1.pdf pages 12-13 section VI search phrase FPGA Implementation"",""survey/build/phase1_mapping.csv#record_id=REC-B9BB1B48E25209CD:title+abstract""]"
PF-168385FE1B26DD23,WORK-5D14DC009BB4E4B8,WORK-5D14DC009BB4E4B8,True,REC-26BE38724CE14F44,"[""REC-26BE38724CE14F44""]",NIFA: Nonlinear IMC enhanced FPGA for efficient ML inference,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-26BE38724CE14F44:title+abstract""]"
PF-18F3D35D2702BF81,WORK-ECEF69A1B2E67BCF,WORK-ECEF69A1B2E67BCF,True,REC-614E448623940710,"[""REC-614E448623940710""]",Pushing up to the Limit of Memory Bandwidth and Capacity Utilization for Efficient LLM Decoding on Embedded FPGA,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-614E448623940710:title+abstract""]"
PF-18F82D9362BBC66A,WORK-ACBBE67E114A3837,WORK-ACBBE67E114A3837,True,REC-4BEC5993271B5F05,"[""REC-4BEC5993271B5F05""]",AHCQ-SAM: Toward Accurate and Hardware-Compatible Post-Training Segment Anything Model Quantization,D,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-4BEC5993271B5F05:title+abstract""]"
PF-1A28BAA50EA1FB07,WORK-17A0A20AECE62821,WORK-17A0A20AECE62821,True,REC-5379D6B857EA5D12,"[""REC-5379D6B857EA5D12""]",An Efficient FPGA-Based Accelerator for Swin Transformer,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-5379D6B857EA5D12:title+abstract""]"
PF-1B9CACD5937E6AD6,WORK-E7D5B9C603AB1C6E,WORK-E7D5B9C603AB1C6E,True,REC-193C307FD04D33A3,"[""REC-193C307FD04D33A3""]",fpgaConvNet: A Toolflow for Mapping Diverse Convolutional Neural Networks on Embedded FPGAs,C,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-193C307FD04D33A3:title+abstract""]"
PF-1BCC6ED5DF519FD0,WORK-3CCB7F61909FFF3D,WORK-3CCB7F61909FFF3D,True,REC-EB4A8C6C964584F8,"[""REC-EB4A8C6C964584F8""]",VAQF: Fully Automatic Software-Hardware Co-Design Framework for Low-Bit Vision Transformer,C,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-EB4A8C6C964584F8:title+abstract""]"
PF-1C832E7D44D35552,WORK-F231018418A0D14D,WORK-F231018418A0D14D,True,REC-B899DAA9C0C71D45,"[""REC-B899DAA9C0C71D45""]",Training Large Neural Networks with Constant Memory using a New Execution Algorithm,D,CPU_FPGA_FALLBACK,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-B899DAA9C0C71D45:title+abstract""]"
PF-1DEAC8206FCF69D5,WORK-D7D399B194F3B590,WORK-D7D399B194F3B590,True,REC-43EBA3F96335295D,"[""REC-43EBA3F96335295D""]",Mapping Fusion: Improving FPGA Technology Mapping with ASIC Mapper,C,PARAMETERIZED_RTL,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-43EBA3F96335295D:title+abstract;LLM-inference-on-FPGA-papers/papers/2507.10912v1.pdf#text-search=\""source code of this work\""""]"
PF-229201185ED716DB,WORK-F23C2D3F2B094530,WORK-F23C2D3F2B094530,True,REC-908FFDB34685B693,"[""REC-908FFDB34685B693""]",StreamTensor: Make Tensors Stream in Dataflow Accelerators for LLMs,C,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-908FFDB34685B693:title+abstract""]"
PF-2295062372BDE409,WORK-38BF32F01373E3F9,WORK-38BF32F01373E3F9,True,REC-09886EF1B7D2452B,"[""REC-09886EF1B7D2452B""]",A Length Adaptive Algorithm-Hardware Co-design of Transformer on FPGA Through Sparse Attention and Dynamic Pipelining,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-09886EF1B7D2452B:title+abstract""]"
PF-22B0C70ECC2FC77F,WORK-76ACBFCD99E4F225,WORK-76ACBFCD99E4F225,True,REC-397AA2E8B322E5B6,"[""REC-397AA2E8B322E5B6""]",MetaML-Pro: Cross-Stage Design Flow Automation for Efficient Deep Learning Acceleration,C,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-397AA2E8B322E5B6:title+abstract""]"
PF-234BEA9090CAC5FC,WORK-800C388CA26F9C9D,WORK-800C388CA26F9C9D,True,REC-1CE9180A227DA1D1,"[""REC-1CE9180A227DA1D1""]",Accurate and Efficient Hyperbolic Tangent Activation Function on FPGA using the DCT Interpolation Filter,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-1CE9180A227DA1D1:title+abstract""]"
PF-2716103C94B96A3B,WORK-D6F5E32A1CFEB87E,WORK-D6F5E32A1CFEB87E,True,REC-FAC8489480AB16AF,"[""REC-FAC8489480AB16AF""]",A Persistent-State Dataflow Accelerator for Memory-Bound Linear Attention Decode on FPGA,B,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-FAC8489480AB16AF:title+abstract""]"
PF-27D27D308E5704E9,WORK-D29C7D406D84ED7B,WORK-D29C7D406D84ED7B,True,REC-8315B7014468B835,"[""REC-8315B7014468B835""]",Accelerating ViT Inference on FPGA through Static and Dynamic Pruning,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-8315B7014468B835:title+abstract""]"
PF-29494D6D9BD10406,WORK-3B8C5897C48327F6,WORK-3B8C5897C48327F6,True,REC-6C5ABE261E433D60,"[""REC-6C5ABE261E433D60""]",Integer-only Quantized Transformers for Embedded FPGA-based Time-series Forecasting in AIoT,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-6C5ABE261E433D60:title+abstract""]"
PF-295D657D3DCDA0C8,WORK-B62C79FB5627F382,WORK-B62C79FB5627F382,True,REC-BE520FAB2229160E,"[""REC-BE520FAB2229160E""]",BiHDTrans: binary hyperdimensional transformer for efficient multivariate time series classification,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-BE520FAB2229160E:title+abstract""]"
PF-2A3E2BF6A0AFBCEE,WORK-10AC642EACF002E1,WORK-10AC642EACF002E1,True,REC-FB33D5E71B559051,"[""REC-52B9F62BBB664FC3"",""REC-FB33D5E71B559051""]",Triple-Hoisted Baby-Step Giant-Step Linear Transformation over CKKS Homomorphic Encryption and Hardware Accelerator,D,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-52B9F62BBB664FC3:title+abstract"",""survey/build/phase1_mapping.csv#record_id=REC-FB33D5E71B559051:title+abstract""]"
PF-2F0EE257CC5C0393,WORK-EBB5303DC48E2539,WORK-EBB5303DC48E2539,True,REC-8D280CE74606BAF2,"[""REC-8D280CE74606BAF2""]",Stochastic Spiking Attention: Accelerating Attention with Stochastic Computing in Spiking Networks,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-8D280CE74606BAF2:title+abstract""]"
PF-3123E25E353ECBC2,WORK-9EB01DDF67D140A4,WORK-9EB01DDF67D140A4,True,REC-361ADBB8874502B6,"[""REC-361ADBB8874502B6""]",HPCNeuroNet: A Neuromorphic Approach Merging SNN Temporal Dynamics with Transformer Attention for FPGA-based Particle Physics,B,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-361ADBB8874502B6:title+abstract""]"
PF-33D76F5095B6FA65,WORK-297FF14654635BE2,WORK-297FF14654635BE2,True,REC-969D3C59E6AFE5EC,"[""REC-969D3C59E6AFE5EC""]",Hardware Acceleration of Fully Quantized BERT for Efficient Natural Language Processing,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-969D3C59E6AFE5EC:title+abstract""]"
PF-341B75A6E11B83A9,WORK-E76CA777606DAE51,WORK-E76CA777606DAE51,True,REC-1B391A89C0485DFA,"[""REC-1B391A89C0485DFA""]",Mestra: Exploring Migration on Virtualized CGRAs,C,OVERLAY,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-1B391A89C0485DFA:title+abstract;LLM-inference-on-FPGA-papers/papers/2604.04694v1.pdf#text-search=\""live kernel migration\""""]"
PF-35A7C7989C4AD42B,WORK-471FF9FFFF66EBEF,WORK-471FF9FFFF66EBEF,True,REC-D17ED0BF4F48BE11,"[""REC-D17ED0BF4F48BE11""]",IANUS: Integrated Accelerator based on NPU-PIM Unified Memory System,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-D17ED0BF4F48BE11:title+abstract""]"
PF-36A0C57CDD2E85C9,WORK-467D637F1A5F438C,WORK-467D637F1A5F438C,True,REC-EA4C0FAA7D7F488C,"[""REC-EA4C0FAA7D7F488C""]",Design and Implementation of an FPGA-Based Hardware Accelerator for Transformer,D,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-EA4C0FAA7D7F488C:title+abstract""]"
PF-380B7AC0E2B58F96,WORK-F722142B1B386E2D,WORK-F722142B1B386E2D,True,REC-136E0A6CF2902F8E,"[""REC-136E0A6CF2902F8E""]",HFRWKV: A High-Performance Fully On-Chip Hardware Accelerator for RWKV,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-136E0A6CF2902F8E:title+abstract; LLM-inference-on-FPGA-papers/papers/2601.02135v1.pdf pages 6-8 sections 4.1 and 5.3 search phrase sustained token-per-second rate""]"
PF-3884E8BE542F465C,WORK-957AE18C470B37D1,WORK-957AE18C470B37D1,True,REC-B98F65C951D2121A,"[""REC-B98F65C951D2121A""]",Fast Graph Vector Search via Hardware Acceleration and Delayed-Synchronization Traversal,D,CPU_FPGA_FALLBACK,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-B98F65C951D2121A:title+abstract""]"
