project_family_id,title,level_final,route_family,preferred_record_id,stable_identifier_type,stable_identifier,source_url,artifact_claim_state,paper_reported_url,normalized_artifact_url,artifact_kind,artifact_relation,evidence_location,observed_status,licence_state,licence_evidence,repository_audit_id,artifact_evidence_request_ids_json,artifact_endpoint_evidence_json,metadata_services_json,metadata_status_codes_json,failure_code,limitations
CONTROL-COMPILER-LAB,compiler-lab TinyStories MLIR-to-SystemVerilog artifact control,CONTROL,MLIR_CIRCT,CONTROL-COMPILER-LAB,local_control,CONTROL-COMPILER-LAB,,paper_reported_available,https://github.com/RCoeurjoly/compiler-lab-llm2fpga,https://github.com/RCoeurjoly/compiler-lab-llm2fpga,github_repository,local_project_control,https://github.com/RCoeurjoly/compiler-lab-llm2fpga/blob/433592c448f8b19a30dd046a1ec726b09a86d892/README.md#L1-L29,observed_with_failures,detected,local git blob LICENSE at 433592c448f8b19a30dd046a1ec726b09a86d892: AGPL-3.0,REPO-CONTROL-COMPILER-LAB,"[""rcoeurjoly/compiler-lab-llm2fpga:repository"",""rcoeurjoly/compiler-lab-llm2fpga:commit:433592c448f8b19a30dd046a1ec726b09a86d892"",""rcoeurjoly/compiler-lab-llm2fpga:releases"",""rcoeurjoly/compiler-lab-llm2fpga:readme:ea15b070c12461065047a18c8a05108a222d0eac""]","{""local_licence"":{""failure_code"":"""",""http_status"":200,""request_identifier"":""local-git:433592c448f8b19a30dd046a1ec726b09a86d892:LICENSE"",""source"":""local_git_worktree""},""local_readme"":{""failure_code"":"""",""http_status"":200,""request_identifier"":""local-git:433592c448f8b19a30dd046a1ec726b09a86d892:README.md"",""source"":""local_git_worktree""},""local_tree"":{""failure_code"":"""",""http_status"":200,""request_identifier"":""local-git:433592c448f8b19a30dd046a1ec726b09a86d892:tree"",""source"":""local_git_worktree""},""releases"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/cf6dd5c7049093a662c9f628113341eb877dd01a6134b5bda026c5ad9c00de77.body"",""request_identifier"":""rcoeurjoly/compiler-lab-llm2fpga:releases"",""response_sha256"":""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945"",""source"":""github_api_repository_scope""},""remote_commit"":{""failure_code"":""REMOTE_REF_INVALID_IDENTIFIER_OR_REF"",""http_status"":422,""raw_response_path"":""responses/github/6e8622b76f3e628b3e70e23c78590c40071477b05531e280aa0dc6ea90374cea.body"",""request_identifier"":""rcoeurjoly/compiler-lab-llm2fpga:commit:433592c448f8b19a30dd046a1ec726b09a86d892"",""response_sha256"":""3cacad6d6e4d77bde2f3acae99b4b5f85d4f879a29543fd8021ef68a0922db15"",""source"":""github_api""},""repository"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/a42723bba76aea022c960e5b000dce3d009ca0ec38b86c9dd6228a53795de3d3.body"",""request_identifier"":""rcoeurjoly/compiler-lab-llm2fpga:repository"",""response_sha256"":""4bfc9c33ed54a00c7490e86ea9ee75af9260bc248a5677f0904a48a6e0e35d64"",""source"":""github_api""},""superseded_default_readme"":{""failure_code"":""SUPERSEDED_DEFAULT_README_RATE_LIMITED_OR_FORBIDDEN"",""http_status"":403,""raw_response_path"":""responses/github/e51dd6de034cd9b7533bb2c7ec70d1a5051d18a68d8cfce0e7e5e12dc0bb63b3.body"",""ref"":""ea15b070c12461065047a18c8a05108a222d0eac"",""request_identifier"":""rcoeurjoly/compiler-lab-llm2fpga:readme:ea15b070c12461065047a18c8a05108a222d0eac"",""response_sha256"":""f30597175edc25211ac8d984d99c90bd00571667bd2d99041a1f2cb2fa44e7ac"",""source"":""github_api_not_used_as_frozen_ref_evidence""}}",[],{},REMOTE_REF_INVALID_IDENTIFIER_OR_REF|SUPERSEDED_DEFAULT_README_RATE_LIMITED_OR_FORBIDDEN,"Exact frozen ref 433592c448f8b19a30dd046a1ec726b09a86d892 observed only through the local git object database/worktree; GitHub returned HTTP 422 for that ref, so remote publication is unresolved. Repository-scoped releases are not frozen-ref evidence; the superseded default-ref README receipt is retained only as negative provenance and was not substituted. No dependency fetch, build, generated-file comparison, or binary inspection."
PF-08FCFE46123303F6,Efficient Kernel Mapping and Comprehensive System Evaluation of LLM Acceleration on a CGLA,A,OVERLAY,REC-F678D73F154843E5,arxiv,2512.00335,https://arxiv.org/abs/2512.00335v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2512.00335v1.pdf#cache_filename=2512.00335v1.pdf;cache_sha256=14323a980ac2e5eabc7a3c7b276eee0c05aae9fe683a9565f5002c51124047d8;locator=pages-1-17_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv"",""crossref"",""openalex""]","{""arxiv"":200,""crossref"":200,""openalex"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-0ED1ABCF4AFE5CD3,A Tensor-Train Decomposition based Compression of LLMs on Group Vector Systolic Accelerator,A,DATAFLOW,REC-12C9D1ED9EF711FB,arxiv,2501.19135,https://arxiv.org/abs/2501.19135v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2501.19135v1.pdf#cache_filename=2501.19135v1.pdf;cache_sha256=f5537770a482adb8996867a7ef57a9358263195f3d58f81f019806bb048d5aeb;locator=pages-1-7_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-1273CF4396325B77,Hummingbird: A Smaller and Faster Large Language Model Accelerator on Embedded FPGA,A,DATAFLOW,REC-804DE81A30D8BC62,arxiv,2507.03308,https://arxiv.org/abs/2507.03308v2,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2507.03308v2.pdf#cache_filename=2507.03308v2.pdf;cache_sha256=1d0c9d601f45699e3cb326f2c791a9c54c12249a108f12b62ef770d5b62e3b2e;locator=pages-1-9_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-1326C1A7929FA973,Understand and Accelerate Memory Processing Pipeline for Large Language Model Inference,A,CPU_FPGA_FALLBACK,REC-377F6DCA995797F6,arxiv,2603.29002,https://arxiv.org/abs/2603.29002v3,paper_reported_available,https://github.com/OswaldHe/HeteroLLM,https://github.com/OswaldHe/HeteroLLM,github_repository,paper_reported_project_repository,https://arxiv.org/pdf/2603.29002v3.pdf#cache_filename=2603.29002v3.pdf;cache_sha256=f34c5eeb201a05888db9b02db4ed4675d1b68e8452b7ebe09df9aa96667a8af8;locator=page-2_section-Section-1_phrase-github.com-OswaldHe-HeteroLLM,observed_with_failures,none_detected,GitHub licence API HTTP 404 at 71524a94fc48c08d349fcbc47ced6e51581754a6,REPO-PF-1326C1A7929FA973,"[""oswaldhe/heterollm:repository"",""oswaldhe/heterollm:commit:main"",""oswaldhe/heterollm:tree:71524a94fc48c08d349fcbc47ced6e51581754a6"",""oswaldhe/heterollm:releases"",""oswaldhe/heterollm:licence:71524a94fc48c08d349fcbc47ced6e51581754a6"",""oswaldhe/heterollm:readme:71524a94fc48c08d349fcbc47ced6e51581754a6""]","{""licence"":{""failure_code"":""LICENCE_NOT_FOUND"",""http_status"":404,""raw_response_path"":""responses/github/cbec893462858f7b3b13961c9c72e6136292204c667fc415fa151430af30e4a5.body"",""request_identifier"":""oswaldhe/heterollm:licence:71524a94fc48c08d349fcbc47ced6e51581754a6"",""response_sha256"":""6c0109c2ac75f1f264b61da6aff1737f7bc7eac254e6396710ff81a4139f32b1"",""source"":""github_api""},""readme"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/8b5a4468fb32f2ced11876a990ff93e4cf2a4825212dd7b1b4a47e0c876f74b5.body"",""request_identifier"":""oswaldhe/heterollm:readme:71524a94fc48c08d349fcbc47ced6e51581754a6"",""response_sha256"":""6ff5d2332188444ec2ada1e0c54f7cd1614aa2e9da3a81d3eb29770034e885db"",""source"":""github_api""},""releases"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/00dc1f96f023a34952df81bb40fb7fcc69d85213c0f046610121fd263a0e764d.body"",""request_identifier"":""oswaldhe/heterollm:releases"",""response_sha256"":""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945"",""source"":""github_api""},""remote_commit"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/acd17f09f24d60c8247d026b23174f85dec7ec6076f2a1f65829d18e5a51fdf7.body"",""request_identifier"":""oswaldhe/heterollm:commit:main"",""response_sha256"":""08edeb6b27568b9b59ff431febaac5806264ae7e371c0262a8ffa44782fa5977"",""source"":""github_api""},""repository"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/ac0fb53a766343a143081ca386693d9148d5d9f61c62ab6aa5b084edaa2407d5.body"",""request_identifier"":""oswaldhe/heterollm:repository"",""response_sha256"":""92a35c2e93b7f76b97fbfa6c066162ade6ed4d7b58d234ed914747b5bd1f1faf"",""source"":""github_api""},""tree"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/8896dff41e36bc284bf7d61ee86fba9efd23df1b64d5c6b5d197b25cfd65200b.body"",""request_identifier"":""oswaldhe/heterollm:tree:71524a94fc48c08d349fcbc47ced6e51581754a6"",""response_sha256"":""c0045c04f0f85c0782a0f2c86646b0f45675f00376c547226f4d29ccfeb313ec"",""source"":""github_api""}}","[""arxiv""]","{""arxiv"":200}",NO_LICENSE_DETECTED,"GitHub repository/tree/licence/release/README API evidence only; no clone, dependency fetch, build, generated-file comparison, or binary inspection"
PF-13AB3CD7DD5A3586,TENET: An Efficient Sparsity-Aware LUT-Centric Architecture for Ternary LLM Inference On Edge,A,OVERLAY,REC-BEACC83B64B951BF,arxiv,2509.13765,https://arxiv.org/abs/2509.13765v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2509.13765v1.pdf#cache_filename=2509.13765v1.pdf;cache_sha256=6e30b46b859e0f59d219cb23fb26ab187a64e831f0e39bb91a3b4338cc26f2b5;locator=pages-1-13_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-18F3D35D2702BF81,Pushing up to the Limit of Memory Bandwidth and Capacity Utilization for Efficient LLM Decoding on Embedded FPGA,A,DATAFLOW,REC-614E448623940710,arxiv,2502.10659,https://arxiv.org/abs/2502.10659v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2502.10659v1.pdf#cache_filename=2502.10659v1.pdf;cache_sha256=56f87fc2a5c31e8ceddab7c4319d4fc44cff1d76f09b6b4877ed4423ab296072;locator=pages-1-7_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-229201185ED716DB,StreamTensor: Make Tensors Stream in Dataflow Accelerators for LLMs,C,DATAFLOW,REC-908FFDB34685B693,arxiv,2509.13694,https://arxiv.org/abs/2509.13694v2,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2509.13694v2.pdf#cache_filename=2509.13694v2.pdf;cache_sha256=03fd093b394054e7ddadf6cf06d5f70102f40f7c6a5ca91a9b8efa521ff26b6e;locator=pages-1-16_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv"",""crossref"",""openalex""]","{""arxiv"":200,""crossref"":200,""openalex"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-25C132E08D276681,TeLLMe v2: An Efficient End-to-End Ternary LLM Prefill and Decode Accelerator with Table-Lookup Matmul on Edge FPGAs,A,DATAFLOW,REC-48B14D3F981A4130,arxiv,2510.15926,https://arxiv.org/abs/2510.15926v2,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2510.15926v2.pdf#cache_filename=2510.15926v2.pdf;cache_sha256=510e249e529748795cf6544efe41473ee18bf0ffd943e37974f76afc3064f14d;locator=pages-1-11_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-380B7AC0E2B58F96,HFRWKV: A High-Performance Fully On-Chip Hardware Accelerator for RWKV,A,DATAFLOW,REC-136E0A6CF2902F8E,arxiv,2601.02135,https://arxiv.org/abs/2601.02135v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2601.02135v1.pdf#cache_filename=2601.02135v1.pdf;cache_sha256=01d696a483f0a36e2b9790e445da5fa2261f495851eeed29fe095b9529daed69;locator=pages-1-9_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
