ordinal,project,stage,status,evidence_kind,evidence_location,rationale
1,compiler-lab,PyTorch model capture,native,source_example,scripts/compile-pytorch.py#lines=13-69; survey/compatibility/R1-mlir-circt/stdout.log#lines=16-20,"The checked-in capture script loads a serialized ExportedProgram and imports it through torch-mlir; the pinned R1 receipt built the export and Linalg artifacts. This is capture evidence, not a decoder pass."
2,compiler-lab,Dynamic-to-static shape specialization,missing,negative_evidence,survey/config/scope.yaml#key=fixtures.M0-operators; scripts/compile-pytorch.py#lines=17-18,The cited scope and CLI wiring do not exercise shape specialization or show a fixed-shape export construction. No pinned generic dynamic-shape-specialisation pass or decoder example was found.
3,compiler-lab,Tensor-to-buffer conversion,missing,negative_evidence,scripts/pipeline/linalg_to_scf_no_handshake.sh#lines=18-28; tests/test_quantized_linalg_diagnostics.py#lines=89-123,"The pipeline declares one-shot bufferization, but the cited test inspects pipeline wiring and the final receipt stops at Linalg. No exercised tensor-to-buffer output is retained."
4,compiler-lab,Quantized/fixed-point type legalization,extension_available,source_test,tools/mlir-passes/LegalizePt2eTosaZeroPoint.cpp#lines=65-160; tests/test_quantized_linalg_diagnostics.py#lines=39-103,A local PT2E/TOSA zero-point legalization pass and integer-post-matmul diagnostic exist. They do not establish complete fixed-point transformer legalization.
5,compiler-lab,MatMul tiling and data reuse,missing,,,"No pinned tiling, reuse schedule, or exercised transformer MatMul mapping was found."
6,compiler-lab,Attention/QKV fusion,missing,,,No active source pass or exercised QKV-fusion example was found.
7,compiler-lab,Causal masking,missing,,,The bounded capture evidence does not establish a generated causal-mask hardware lowering.
8,compiler-lab,Softmax approximation,missing,negative_evidence,tools/mlir-passes/FoldConstantTruncFOps.cpp#lines=668-790; tests/test_calyx_math_legalization.py#lines=22-45; docs/results/2026-07-16-quantized-rc-nonlinear-lowering-frontier.md#lines=23-45,"Opt-in scalar exp ingredients exist, but there is no tested composed Softmax transformation or oracle comparison. The documented standard route rejects math.exp."
9,compiler-lab,LayerNorm/RMSNorm lowering,missing,,,No complete LayerNorm or RMSNorm hardware lowering is exercised by the pinned route.
10,compiler-lab,GELU/SiLU approximation,missing,negative_evidence,tools/mlir-passes/FoldConstantTruncFOps.cpp#lines=668-885; tests/test_calyx_math_legalization.py#lines=22-65; docs/results/2026-07-16-quantized-rc-nonlinear-lowering-frontier.md#lines=23-45,"The local source exposes scalar tanh and constant-fpowi ingredients, but no tested composed GELU or SiLU transformation or equivalence result exists."
11,compiler-lab,RoPE lowering,missing,,,No pinned RoPE lowering pass or exercised hardware example was found.
12,compiler-lab,KV-cache state and addressing,missing,,,R1 contains no M2 stateful-decode pass receipt or persistent KV-cache evidence.
13,compiler-lab,Buffer banking and memory-port assignment,missing,,,Bufferization evidence does not establish a banking or port-assignment policy.
14,compiler-lab,Resource sharing and scheduling,missing,,,No compact decoder scheduling or resource-sharing pass is exercised by the current route.
15,compiler-lab,Backpressure and deadlock handling,missing,,,The active successful pre-Calyx path deliberately omits a Handshake tail; no deadlock evidence exists.
16,compiler-lab,Weight-loading interface,missing,,,No exercised weight-loading ABI or generated interface is present in the final R1 receipt.
17,compiler-lab,AXI/stream/memory interface generation,missing,,,"R1 stops before complete RTL, so it provides no independently lintable generated interface."
18,compiler-lab,Synthesizable memory inference,missing,,,No independently synthesizable inferred-memory result is recorded for the current route.
19,compiler-lab,Clock/reset generation,missing,,,No complete generated RTL result exists from which a clock/reset interface could be assessed.
20,compiler-lab,FPGA-family technology mapping,missing,,,The final R1 receipt has no completed synthesis or FPGA-family mapping pass.
1,Allo,PyTorch model capture,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
2,Allo,Dynamic-to-static shape specialization,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
3,Allo,Tensor-to-buffer conversion,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
4,Allo,Quantized/fixed-point type legalization,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
5,Allo,MatMul tiling and data reuse,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
6,Allo,Attention/QKV fusion,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
7,Allo,Causal masking,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
8,Allo,Softmax approximation,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
9,Allo,LayerNorm/RMSNorm lowering,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
10,Allo,GELU/SiLU approximation,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
11,Allo,RoPE lowering,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
12,Allo,KV-cache state and addressing,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
13,Allo,Buffer banking and memory-port assignment,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
